Image, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
anger85,0.3,0.14,0.53,0,0.04,1.39,0,0,0,0,0.58,0.94,0.19,0.21,1.02,0.67,0.18,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1
anger86,0.41,0.17,0.63,0,0.07,1.94,0,0,0,0,0.8,0.76,0,0,1.05,0.5,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
anger87,0.22,0.07,0.96,0,0.05,1.68,0,0,0,0,0.56,0.82,0.02,0.13,0.7,0.4,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
anger88,0.11,0.03,1.31,0,0.05,1.34,0,0,0,0,0.22,0.96,0.05,0.27,0.33,0.28,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
anger89,0,0,1.63,0,0.05,1.08,0,0,0,0,0,1,0.1,0.41,0,0.18,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger90,0.08,0,1.09,0,0.04,0.73,0,0,0,0,0.22,0.73,0.08,0.28,0.14,0.11,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger91,0.16,0,0.57,0,0.03,0.37,0,0,0,0,0.36,0.49,0.05,0.14,0.16,0.06,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger92,0.28,0,0.08,0,0,0,0,0.06,0,0.19,0.37,0.43,0,0.09,0.22,0,0.01,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger93,0.2,0,0.1,0,0,0.35,0,0.06,0,0.19,0.15,0.57,0,0.12,0.08,0,0.1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger94,0.12,0,0.09,0,0,0.61,0,0.06,0,0.19,0.01,0.49,0,0.22,0.06,0,0.24,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger95,0,0,0.02,0.05,0,0.95,0,0,0,0,0,0.45,0.01,0.22,0,0.06,0.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger96,0,0,0.3,0.05,0.11,1.39,0,0,0,0,0,0.39,0.01,0.19,0.48,0.24,0.32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
anger97,0,0,0.62,0.05,0.26,1.95,0,0,0,0,0,0.36,0.01,0.09,1,0.44,0.17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger98,0,0,0.94,0,0.41,2.35,0,0,0,0,0,0.18,0,0,1.55,0.55,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger99,0,0,1.05,0,0.3,2.38,0,0,0,0,0.16,0.22,0,0,1.56,0.65,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger100,0.01,0,1.16,0,0.15,2.34,0,0,0,0,0.36,0.3,0,0,1.43,0.57,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger101,0.06,0,1.33,0,0,2.31,0,0,0,0,0.51,0.34,0,0,1.27,0.51,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger102,0.15,0.09,1.01,0,0,1.55,0,0,0,0,0.35,0.23,0,0,0.9,0.31,0.41,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
anger103,0.14,0.09,0.69,0,0,0.87,0,0,0,0,0.15,0.14,0,0,0.71,0.38,0.82,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
anger104,0.1,0.14,0.31,0,0,0.24,0,0,0,0,0,0.09,0,0,0.55,0.46,1.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
anger105,0.01,0.04,0.39,0,0,0.18,0,0,0,0,0,0.09,0,0,0.83,0.44,0.88,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
anger106,0.01,0.04,0.5,0,0,0.08,0,0,0,0,0,0.07,0,0,1.01,0.36,0.58,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger107,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,1.16,0.27,0.26,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger108,0,0,0.54,0.03,0,0,0,0,0,0,0,0.38,0,0.02,0.76,0.35,0.17,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger109,0.16,0,0.32,0.03,0,0,0,0,0,0,0,0.92,0,0.03,0.38,0.24,0.06,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger110,0.37,0,0.12,0.05,0,0,0,0,0,0,0,1.48,0,0.03,0,0.19,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
anger111,0.37,0,0.03,0.03,0.11,0.01,0,0,0.18,0.04,0.25,1.15,0,0.01,0.15,0.05,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger112,0.22,0,0.03,0.03,0.24,0.16,0,0,0.36,0.07,0.48,0.73,0,0,0.3,0.05,0.01,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger113,0,0,0.06,0,0.38,0.2,0,0,0.54,0.07,0.75,0.49,0,0.02,0.38,0,0.01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger114,0.63,0.24,0.06,0,0.27,0.19,0,0,0.36,0.03,0.5,0.44,0,0.02,0.3,0,0.01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger115,1.19,0.36,0.06,0,0.13,0.04,0,0,0.18,0.02,0.26,0.32,0,0.02,0.23,0,0.11,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
anger116,1.78,0.52,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0.29,0,0.17,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
anger117,1.4,0.59,0.31,0.19,0,0,0,0,0,0.03,0.11,0.17,0,0,0.26,0.18,0.17,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
anger118,1.07,0.8,0.62,0.38,0,0,0.05,0,0,0.01,0.28,0.37,0,0,0.2,0.27,0.06,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
anger119,0.77,0.93,0.85,0.61,0,0,0.09,0,0,0,0.44,0.68,0.03,0,0.06,0.34,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
anger120,1.34,1.3,0.85,0.52,0,0,0.09,0,0,0,0.38,0.69,0.03,0,0.07,0.16,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
anger121,1.81,1.59,0.7,0.38,0,0,0.05,0,0,0,0.25,0.69,0.03,0,0.15,0.07,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
anger122,2.28,1.9,0.72,0.22,0,0,0.01,0,0,0,0.12,0.6,0,0,0.22,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
anger123,1.92,1.45,1.59,0.12,0,0.01,0.35,0,0,0,0.49,0.59,0,0,0.54,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
anger124,1.69,1.02,2.53,0.07,0,0.01,0.63,0,0,0,0.88,0.51,0,0,0.89,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
anger125,1.4,0.68,3.33,0,0,0.01,0.91,0,0,0,1.29,0.46,0,0,1.25,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
anger126,0.93,0.46,2.65,0.08,0.27,0.59,0.78,0.19,0.05,0.45,1.58,0.79,0.34,0,1.03,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
anger127,0.46,0.26,1.99,0.11,0.58,1.19,0.65,0.41,0.15,0.96,1.96,1.33,0.71,0,0.75,0.09,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
anger128,0,0,1.42,0.11,0.91,1.73,0.57,0.65,0.31,1.41,2.34,1.73,1.15,0,0.51,0.12,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
anger129,0,0,0.93,0.03,0.64,1.14,0.48,0.46,0.26,0.96,1.74,1.74,0.96,0.14,0.44,0.12,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
anger130,0,0,0.49,0.01,0.33,0.54,0.44,0.24,0.16,0.44,1.15,1.56,0.67,0.14,0.44,0.03,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
anger131,0,0,0,0.01,0,0,0.42,0,0,0,0.64,1.4,0.29,0.14,0.42,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
anger132,0.25,0,0.65,0.01,0,0,0.3,0,0,0.05,0.74,1.1,0.14,0.08,0.34,0.25,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger133,0.51,0,1.33,0,0,0,0.18,0,0,0.05,0.73,0.81,0.06,0.16,0.16,0.35,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger134,0.76,0,2.06,0,0,0,0,0,0,0.05,0.66,0.69,0,0.26,0,0.58,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger135,0.74,0,2.18,0,0,0,0,0,0,0,0.71,0.87,0,0.3,0,0.68,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
contempt1,0,0,0,0,0,0.02,0,0,0.17,0,0,0,0.09,0,0.39,0.43,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt2,0,0,0,0,0,0.11,0,0,0.3,0.07,0,0.07,0.13,0,0.34,0.43,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt3,0.13,0,0.12,0,0,0.26,0,0,0.24,0.39,0,0.27,0.1,0,0.21,0.48,0.13,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt4,0.3,0,0.27,0,0,0.54,0.01,0,0.13,0.78,0,0.49,0.03,0,0.09,0.52,0.29,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt5,0.41,0,0.38,0,0,0.75,0.01,0,0,1.11,0,0.65,0,0,0,0.58,0.41,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt6,0.94,0.26,0.26,0,0,0.67,0.01,0,0.05,1.02,0,0.48,0,0,0.15,0.74,0.28,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
contempt7,1.39,0.51,0.11,0,0,0.45,0,0,0.2,0.83,0,0.26,0,0,0.2,0.85,0.12,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
contempt8,1.88,0.75,0,0,0,0.27,0,0,0.36,0.76,0,0.09,0,0,0.29,0.98,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
